#{"t_start": 1762415922.2184756, "env_id": "None"}
r,l,t
5977.605523,720,539.006337
5505.231718,720,539.74636
5635.746606,720,540.484877
6027.598034,720,542.690169
5630.960471,720,543.446318
5906.010159,720,544.203094
6344.381401,720,546.522159
5732.276914,720,547.588777
5783.686208,720,550.63043
5827.626638,720,551.40078
5470.219352,720,552.154404
5290.768719,720,554.322161
6160.13008,720,555.097184
5961.841561,720,555.895857
5786.236219,720,558.131806
6190.479767,720,558.952291
5686.466051,720,559.695427
5877.281084,720,562.580005
5723.870687,720,563.621335
5559.139225,720,564.773781
5460.88455,720,566.952343
5626.638039,720,567.726568
5693.606985,720,568.515095
5755.500287,720,570.680791
5926.126826,720,571.445541
6017.761321,720,573.688511
5192.662662,720,574.42778
6077.152725,720,575.398739
5800.749893,720,578.530207
5601.08274,720,579.603112
6043.961105,720,580.416647
6372.001704,720,582.674256
6170.714551,720,583.466214
5965.162997,720,584.252072
6400.453224,720,586.706353
6175.031798,720,587.475971
5497.182004,720,588.231523
6140.526339,720,590.902389
5791.823922,720,591.971423
5357.458938,720,593.06203
5821.979112,720,595.5097
5125.897026,720,596.271104
5746.521226,720,597.052365
5896.929674,720,599.248289
6097.433979,720,599.983451
6253.402494,720,602.204314
5800.463167,720,602.950929
5314.37404,720,603.715354
5699.245276,720,606.858872
5723.898147,720,608.03306
4878.179315,720,608.87548
5796.799594,720,611.025527
5956.381188,720,611.7634
5544.907238,720,612.529881
5637.73661,720,614.645599
5848.062095,720,615.406536
5758.334236,720,616.189964
6092.387508,720,618.540283
5162.294457,720,619.64842
5436.611214,720,620.876604
5753.534903,720,623.71896
5965.777576,720,624.467586
5724.630592,720,626.632302
5540.436216,720,627.401097
5826.62233,720,628.197458
5634.291043,720,630.374163
5243.657096,720,631.124081
6043.671614,720,631.866883
6249.250759,720,634.654134
5749.545405,720,635.67423
5836.685801,720,636.762578
6345.293117,720,639.104248
6213.576296,720,639.881858
5821.166918,720,640.650889
6040.681939,720,642.865231
5398.824886,720,643.621966
5837.681027,720,644.370758
6046.438323,720,646.522787
6380.367315,720,647.370876
5428.451621,720,648.495312
6405.994853,720,651.618405
5903.262513,720,652.390201
5839.839206,720,654.540136
6305.694426,720,655.280195
5945.000192,720,656.047483
6605.422529,720,658.20328
6116.643092,720,658.966881
5274.135015,720,659.71617
6089.925968,720,661.984301
5769.898958,720,663.074007
6376.464985,720,664.152339
5226.916535,720,666.887073
6380.881427,720,667.638632
5959.047918,720,668.427976
6153.040183,720,670.577369
6415.702196,720,671.339864
5827.154883,720,672.07022
5961.888837,720,674.223566
5488.398176,720,674.970594
5062.392615,720,677.502771
5433.721659,720,678.600101
6112.938487,720,679.635415
6166.571267,720,682.13518
6261.676226,720,682.881036
6329.950186,720,683.641647
5836.888036,720,685.791659
5665.006405,720,686.543885
6565.527912,720,687.306449
6203.430731,720,689.50008
5630.739352,720,690.243649
5493.506382,720,691.18128
6070.30709,720,694.268243
6072.124175,720,695.299186
5802.568345,720,696.052147
5455.116948,720,698.204777
6270.329567,720,698.955913
5372.836821,720,699.692331
5618.181432,720,701.910979
6322.028945,720,702.718869
6065.251289,720,704.967886
6438.907944,720,706.036685
5636.307859,720,707.153678
5232.802367,720,710.073542
6067.371901,720,710.820087
5530.261497,720,711.560168
6326.275038,720,713.790199
5806.019116,720,714.532615
6360.488884,720,715.288234
6085.6941,720,717.46854
6461.665292,720,718.243747
5408.921636,720,719.002656
5350.901298,720,721.863328
5545.416333,720,722.911263
6203.461575,720,724.034702
5681.270957,720,726.139694
5641.862529,720,726.892638
6095.613819,720,729.081228
6471.942593,720,729.839776
6338.896474,720,730.579826
